,Rank,Released,Movie,DomesticBox Office,InternationalBox Office,WorldwideBox Office
290,291,2016,Hidden Figures,"$169,607,287","$62,164,429","$231,771,716"
291,292,2008,Quantum of Solace,"$169,368,427","$422,323,651","$591,692,078"
292,293,2011,Bridesmaids,"$169,211,718","$120,420,305","$289,632,023"
293,294,1977,Close Encounters of the Third Kind,"$169,100,479","$171,700,000","$340,800,479"
294,295,2007,Wild Hogs,"$168,213,584","$85,341,799","$253,555,383"
295,296,2017,Kong: Skull Island,"$168,052,812","$393,019,247","$561,072,059"
296,297,1987,3 Men and a Baby,"$167,780,960",$0,"$167,780,960"
297,298,2014,Gone Girl,"$167,767,189","$200,800,000","$368,567,189"
298,299,2018,Hotel Transylvania 3: Summer Vacation,"$167,500,092","$359,577,586","$527,077,678"
299,300,2006,Casino Royale,"$167,365,000","$427,055,283","$594,420,283"
300,301,2000,Meet the Parents,"$166,225,040","$164,200,000","$330,425,040"
301,302,2015,Fifty Shades of Grey,"$166,167,230","$404,830,871","$570,998,101"
302,303,2009,2012,"$166,112,167","$591,565,581","$757,677,748"
303,304,1991,Robin Hood: Prince of Thieves,"$165,493,908","$225,006,092","$390,500,000"
304,305,2011,Kung Fu Panda 2,"$165,249,063","$499,588,484","$664,837,547"
305,306,2001,Hannibal,"$165,092,266","$185,008,014","$350,100,280"
306,307,2002,Catch Me if You Can,"$164,606,800","$191,005,491","$355,612,291"
307,308,2009,The Proposal,"$163,958,031","$150,751,686","$314,709,717"
308,309,1999,Big Daddy,"$163,479,795","$65,161,488","$228,641,283"
309,310,2010,Clash of the Titans,"$163,214,888","$330,000,000","$493,214,888"
310,311,1965,The Sound of Music,"$163,214,286","$123,000,000","$286,214,286"
311,312,2015,The SpongeBob Movie: Sponge Out of Water,"$162,994,032","$148,019,149","$311,013,181"
312,313,1992,Batman Returns,"$162,833,635","$103,990,656","$266,824,291"
313,314,2012,Django Unchained,"$162,805,434","$287,142,889","$449,948,323"
314,315,1998,A Bug's Life,"$162,798,565","$200,296,754","$363,095,319"
315,316,2006,The Pursuit of Happyness,"$162,586,036","$144,725,057","$307,311,093"
316,317,2016,Jason Bourne,"$162,192,920","$253,975,396","$416,168,316"
317,318,2010,Grown Ups,"$162,001,186","$110,222,244","$272,223,430"
318,319,1998,The Waterboy,"$161,491,646","$28,700,000","$190,191,646"
319,320,2004,Shark Tale,"$161,412,000","$210,505,043","$371,917,043"
320,321,2012,Ice Age: Continental Drift,"$161,321,843","$718,443,294","$879,765,137"
321,322,2015,Straight Outta Compton,"$161,197,785","$40,985,196","$202,182,981"
322,323,2002,Die Another Day,"$160,942,139","$271,000,000","$431,942,139"
323,324,2019,How to Train Your Dragon: The Hidden World,"$159,706,980","$356,391,508","$516,098,488"
324,325,1973,The Sting,"$159,616,327",$0,"$159,616,327"
325,326,2013,The Heat,"$159,581,587","$70,146,187","$229,727,774"
326,327,2018,Fantastic Beasts: The Crimes of Grindelwald,"$159,555,901","$492,664,185","$652,220,086"
327,328,2018,Halloween,"$159,342,015","$95,000,000","$254,342,015"
328,329,2016,Star Trek Beyond,"$158,848,340","$176,953,893","$335,802,233"
329,330,1993,The Firm,"$158,340,892","$112,000,000","$270,340,892"
330,331,2005,The Longest Yard,"$158,119,460","$33,439,045","$191,558,505"
331,332,2000,X-Men,"$157,299,717","$139,572,650","$296,872,367"
332,333,2000,Scary Movie,"$157,019,771","$120,180,229","$277,200,000"
333,334,1987,Fatal Attraction,"$156,645,693","$163,454,307","$320,100,000"
334,335,2000,What Lies Beneath,"$155,464,351","$133,229,638","$288,693,989"
335,336,2016,X-Men: Apocalypse,"$155,442,489","$387,095,057","$542,537,546"
336,337,1999,The Mummy,"$155,385,488","$261,000,000","$416,385,488"
337,338,2015,San Andreas,"$155,190,832","$301,067,707","$456,258,539"
338,339,2012,Snow White and the Huntsman,"$155,136,755","$245,884,991","$401,021,746"
339,340,2009,Fast & Furious,"$155,064,265","$208,000,000","$363,064,265"
340,341,2006,Over the Hedge,"$155,019,340","$188,377,907","$343,397,247"
